ID,答题时间,Q1_身份,Q2_年龄段,Q3_配送类型,Q4_配送区域类型,Q5_是否用过驿站,Q6_跑单时长,Q7_最不便方面_多选,Q8_驿站重要功能_多选,Q9_驿站选址偏好,Q10_方案取舍,Q11_效率恢复_量表,Q12_安全缓冲_量表,Q13_价值感知_量表,Q14_寻找难易_量表,Q15_注意力测试_量表,Q16_使用流程_量表,Q17_习惯难度_量表,Q18_使用可能_量表,Q19_推荐意愿_量表,Q20_运营费用承担_多选,Q21_付费意愿,Q22_广告接受度_量表,Q23_运营顾虑_开放,Q24_从业时间,Q25_月收入,Q26_商户店铺类型,Q27_商户店址位置,Q28_骑手客源占比,Q29_目前骑手停留情况,Q30_参与合作意向,Q31_合作顾虑点_多选,Q32_激励方式偏好_多选,Q33_商户具体想法_开放,Q34_居民见骑手频率,Q35_对骑手露宿态度,Q36_对驿站总体态度,Q37_50米内距离敏感度,Q38_居民主要担忧_多选,Q39_驿站管理原则_多选,Q40_参与讨论意愿,Q41_居民建议建议_开放,Q42_社区居住时长
1,369,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,暂无,,,,,,,,,,没想法,经常看到,不希望聚集,比较支持,是,充电消防隐患,"物业监督,禁止吸烟",无所谓,物业必须要尽到监管的责任，不能建完就不管了。,少于1年
2,365,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,-,,,药店/诊所,是，在100米内,很少,偶尔有,非常愿意,安全责任问题,水电补贴,1,,,,,,,,跳过,
3,580,外卖骑手,25-30岁,众包,住宅区/社区为主,是，经常用,8-12小时,"上厕所不便,手机/电瓶车充电难","便利服务,基础休憩",社区便利店/超市内,B（综合保障型）,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,"完全由政府出资,广告收入",不太愿意,1.0,不要弄那些虚的，能充电能上厕所就是最实用的,3年以上,5000-8000元,,,,,,,,不知道,,,,,,,,1,
4,208,外卖骑手,18-24岁,众包,住宅区/社区为主,是，偶尔用,少于4小时,"找不到合适地方休息,饮水不便,手机/电瓶车充电难","应急庇护,基础休憩",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,"完全由政府出资,广告收入",不太愿意,5.0,没,不到6个月,5000元以下,,,,,,,,暂无,,,,,,,,没啥,
5,596,外卖骑手,25-30岁,专送,住宅区/社区为主,知道，但从没用过,8-12小时,手机/电瓶车充电难,"基础休憩,应急庇护",社区便利店/超市内,C（弹性流动型）,4.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,"由外卖平台承担,向骑手收取少量费用",视情况而定,1.0,看情况,6个月-1年,12000元以上,,,,,,,,没啥,,,,,,,,没想法,
6,196,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，经常用,8-12小时,"上厕所不便,饮水不便","便利服务,基础休憩",小区出入口/门卫室附近,A（高频便利型）,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"由外卖平台承担,完全由政府出资",愿意支付,4.0,没想法,1-3年,5000-8000元,,,,,,,,跳过,,,,,,,,-,
7,936,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,暂无,,,药店/诊所,是，在100米内,是，经常来,经常有,可以考虑,影响店面卫生,"平台流量曝光,水电补贴",公益是好事，但不能只让商户出钱出力吧。,,,,,,,,没,
8,429,外卖骑手,18-24岁,众包,混合区域,知道，但从没用过,超过12小时,上厕所不便,"便利服务,基础休憩",社区便利店/超市内,A（高频便利型）,2.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,"由外卖平台承担,广告收入",愿意支付,3.0,没有,1-3年,8000-12000元,,,,,,,,无,,,,,,,,没有,
9,361,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,没,,,其他服务店,否,是，经常来,经常有,非常愿意,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",可以的,,,,,,,,没想法,
10,794,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,没有,,,,,,,,,,跳过,很少看到,不希望聚集,非常支持,否,噪音/卫生问题,物业监督,愿意,1,少于1年
